drinkType,drinkCategory
Gin,London Dry; Contemporary Gin; Sloe Gin; Old Tom; Barrel Aged; Flavoured Gin
Liqueur,Coffee; Chocolate; Fruity; Herbal; Nut; Others 
Vodka,Plain; Flavoured
Tequila,Blanco; Reposado; Anjeo; Extra Anjeo; Flavoured
Cognac,VS; VSOP; XO; Others
Sake,Spice/Flavoured; Junmai Daiginjo; Junmai Ginjo; Junmai; Daiginjo; Ginjo; Honjozo; Futsushu
Baijiu,
Shochu,
Rum / Rhum,"White; Golden,Dark; Spice/Flavoured"
Whiskey / Whisky,Single Malt; Blended; Blended Malt; Grain Whisky